,Datetime,Tweet Id,text,Username
143,2022-01-27 09:34:53+00:00,1486633801346342915,Georgia Gwinnett College: Student Assistant - Digital Humanities Lab and Library Archives #libjobs https://t.co/zPJXJFgcKs,galibgnus
156,2022-01-27 00:10:58+00:00,1486491887708090376,Paid summer positions for #MLIS students and recent grads interested in #wikidata #openaccess or digital humanities https://t.co/84ik5XYEMp  #OA #DH #cataloging #metadata #lisjobs,ahbinder
185,2022-01-26 12:28:43+00:00,1486315160327397380,Nice crowdsourcing in cultural heritage / digital humanities / citizen science job https://t.co/jSCpnKasSL,mia_out
258,2022-01-24 16:59:57+00:00,1485658643374690313,"Job: 1 Wiss. Mitarb. ""Digital Humanities"" (Bergische Univ., Wuppertal) https://t.co/XJDdegLXxr",hsozkultservice
309,2022-01-22 13:18:17+00:00,1484878082888589316,"JOB: 100% WissMA Digital Humanities Wuppertal (open topic / open rank)
@patrick_sahle #digitalhumanities https://t.co/yu6JZiOgCq https://t.co/OlZiV7eq0P",HxxxKxxx
331,2022-01-21 16:59:44+00:00,1484571426925551616,"Job: 1 Bibliotheksreferendar:in (w/m/d) ""Geistes- und Kulturwissenschaften / Digital Humanities"" (Herzog August Bibliothek Wolfenbüttel) https://t.co/AQMvyyUotY",hsozkultservice
367,2022-01-20 18:04:46+00:00,1484225405502513152,"#jobopportunity Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH) seeking a

RESEARCH DATA ENGINEER (F*M)
with focus on XML technologies (10 to 40 hours per week)

https://t.co/irUCIIhqK8
Applications due 15.02.2022",eadh_org
371,2022-01-20 15:12:46+00:00,1484182119651762184,Stoked to be joining Oslo University's Center for Islamic and Middle Eastern Studies as an adjunct fellow (alongside my FFI job). Looking forward to working on digital humanities and more with the fantastic scholars there https://t.co/RrFlxcklAD,Hegghammer
492,2022-01-17 16:59:48+00:00,1483121892106063879,"Job: 0,5 Wiss. Mitarb. (w/m/d) ""Informatik/Digital Humanities"" (Sorbisches Institut, Bautzen) https://t.co/qS8PdjYOTG",hsozkultservice
528,2022-01-15 23:41:51+00:00,1482498293573816325,"degree 1: philosophy
degree 2: digital humanities
job now: programming for a philosophy/philology research group.
so yeah, both degrees naturally helped. but also, deg 1 helped big time with deg 2, and in life in general. https://t.co/8CsikIjH7s",ge_ki_tsu
542,2022-01-15 07:00:33+00:00,1482246309608230913,Gesucht: Professur für Digital Humanities: Karl-Franzens-Universität Graz https://t.co/PtRGq1tcMa #stellenangebot #jobs,DIEZEIT_Jobs
573,2022-01-14 12:58:07+00:00,1481973907196366852,"Serbski institut pyta tebje! Wupisamy městno wědomostneho sobudźěłaćerja we wobłuku informatiki/digital humanities https://t.co/fQGpNlFP6z

#digitalhumanities #ITJobs #Stellenausschreibung",serbskiinstitut
605,2022-01-13 10:49:12+00:00,1481579073260466176,"Digital Humanities job in Durham! https://t.co/bAnYpvtPjy @Ted_Underwood @melissaterras @IvanKreilkamp please send good candidates our way!! thanks, everyone",ProfSJJames
660,2022-01-11 16:44:04+00:00,1480943603262398467,"Gain experience with open access, wikidata and digital humanities through the paid Atkins Fellows program this summer! Open to #MLIS students and recent grads (within last year) https://t.co/yKE5bgsRhK #OA #DH #wikidata #LibraryJobs",atkinsfellow
773,2022-01-07 01:22:58+00:00,1479262252217745409,"Great looking job going with @digitalstudioUM - don't need a PhD but looks like it would suit a PhD grad with project management, digital humanities experience https://t.co/04h6BPKxCY",orientalhotel
789,2022-01-06 16:44:38+00:00,1479131809451548676,RT'ing again because I could have done a better job selling this. We're looking for someone(s) to help us build the ARGO site. We'd especially love to work with folks who are excited about digital humanities. Tell your friends! Feel free to circulate! https://t.co/HOQ9eneBgn,foreign_advices
826,2022-01-05 16:03:53+00:00,1478759165468286976,"Bis zum 16.01.2022 bewerben!
Die @UniBonn Abteilung für Musikwissenschaft/Sound Studies sucht einen Fachinformatiker*in im Bereich Musikinformatik/Digital Humanities (in Teilzeit, 50 %, befristet, 9a TV-L), https://t.co/86aWBTLYHz #digitalhumanities #Stellenangebot #Job (sk)",DHDInfo
860,2022-01-04 19:02:19+00:00,1478441680927969282,"Job: 1 Wiss. Mitarb. (m/w/d) ""Informatik/Digital Humanities"" (Sächsische Akademie der Wissenschaften zu Leipzig) https://t.co/qVDb0ymRc8",hsozkultservice
884,2022-01-03 18:28:43+00:00,1478070835982209029,"Also in the issue: ""Digital Humanities in the iSchool"", surveying both DH education models in LIS and DH job requirements. @koraljkagolub @ruyhliu @Ted_Underwood https://t.co/ZGzEnCKt80",POrg
996,2021-12-27 17:53:46+00:00,1475525328487469059,"This is how I understand digital humanities. 

Job Posting: Assistant Professor of Robotics and Animal Husbandry with a Specialization in Dance - McSweeney’s Internet Tendency https://t.co/gWDYGnIYg1",SheetalChabbers
